"Trade in goods by exporter characteristics, by industry of establishment"
"Frequency: Annual"
"Table: 12-10-0098-01 (formerly CANSIM 228-0077)"
"Release date: 2025-05-16"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,,"Estimates","Value of exports 1 2  (x 1,000)","Number of exporting establishments"
"Geography","North American Industry Classification System (NAICS)","Reference period"
,,,"Dollars","Number"
"Canada","All industries","2007","399,747,297","53,730"
,,"2008","430,673,352","52,064"
,,"2009","321,049,295","47,515"
,,"2010","359,917,422","45,425"
,,"2011","400,244,966","47,250"
,,"2012","407,800,730","47,830"
,,"2013","423,614,361","46,634"
,,"2014","469,270,980","48,523"
,,"2015","464,754,175","49,137"
,,"2016","453,686,071","48,380"
,,"2017","483,644,366","48,454"
,,"2018","522,836,851","50,247"
,,"2019","533,254,668","50,542"
,,"2020","471,923,596","48,325"
,,"2021","575,185,668","52,663"
,,"2022","717,614,448","53,327"
,,"2023","703,276,507","54,113"
,,"2024","712,818,662","53,448"
,"Agriculture, forestry, fishing and hunting  [11]","2007","5,329,330","2,770"
,,"2008","4,726,470","3,059"
,,"2009","3,944,658","2,644"
,,"2010","3,417,711","2,476"
,,"2011","4,477,245","2,730"
,,"2012","4,382,940","3,041"
,,"2013","5,306,868","3,173"
,,"2014","5,007,762","3,939"
,,"2015","5,502,488","3,583"
,,"2016","6,085,078","3,316"
,,"2017","4,809,816","3,340"
,,"2018","4,856,688","3,390"
,,"2019","5,237,898","3,276"
,,"2020","5,448,143","3,258"
,,"2021","6,542,387","3,635"
,,"2022","6,916,764","3,759"
,,"2023","7,009,754","3,794"
,,"2024","7,875,306","3,593"
,"Mining, quarrying, and oil and gas extraction  [21]","2007","65,430,847","669"
,,"2008","99,738,047","693"
,,"2009","58,107,598","613"
,,"2010","49,835,586","600"
,,"2011","72,766,501","647"
,,"2012","62,640,079","666"
,,"2013","77,054,774","668"
,,"2014","88,376,881","663"
,,"2015","62,119,727","625"
,,"2016","51,541,910","564"
,,"2017","70,900,356","566"
,,"2018","88,743,521","625"
,,"2019","98,546,351","632"
,,"2020","78,173,277","594"
,,"2021","118,171,924","591"
,,"2022","177,125,140","620"
,,"2023","151,277,641","619"
,,"2024","150,129,955","666"
,"Oil and gas extraction  [211]","2007","48,086,731","121"
,,"2008","77,677,835","142"
,,"2009","41,804,021","135"
,,"2010","35,061,573","117"
,,"2011","48,842,699","145"
,,"2012","41,637,108","136"
,,"2013","59,123,526","142"
,,"2014","67,447,934","130"
,,"2015","43,113,372","138"
,,"2016","33,678,176","111"
,,"2017","48,572,646","97"
,,"2018","63,929,605","101"
,,"2019","71,247,580","119"
,,"2020","53,746,647","111"
,,"2021","86,437,936","102"
,,"2022","137,615,429","100"
,,"2023","112,579,578","98"
,,"2024","114,121,815","135"
,"Mining and quarrying (except oil and gas)  [212]","2007","13,275,102","186"
,,"2008","16,856,178","172"
,,"2009","12,837,279","169"
,,"2010","10,696,572","159"
,,"2011","20,199,392","164"
,,"2012","17,557,685","164"
,,"2013","16,272,222","170"
,,"2014","16,227,122","163"
,,"2015","16,566,061","166"
,,"2016","16,531,698","157"
,,"2017","20,282,021","155"
,,"2018","22,896,648","170"
,,"2019","25,217,876","166"
,,"2020","22,655,838","168"
,,"2021","29,937,851","167"
,,"2022","38,642,361","182"
,,"2023","37,055,924","185"
,,"2024","34,688,176","191"
,"Support activities for mining, and oil and gas extraction  [213]","2007","4,069,014","362"
,,"2008","5,204,033","379"
,,"2009","3,466,298","309"
,,"2010","4,077,442","324"
,,"2011","3,724,410","338"
,,"2012","3,445,286","366"
,,"2013","1,659,026","356"
,,"2014","4,701,826","370"
,,"2015","2,440,294","321"
,,"2016","1,332,037","296"
,,"2017","2,045,688","314"
,,"2018","1,917,268","354"
,,"2019","2,080,895","347"
,,"2020","1,770,793","315"
,,"2021","1,796,136","322"
,,"2022","867,351","338"
,,"2023","1,642,139","336"
,,"2024","1,319,964","340"
,"Utilities  [22]","2007","9,671,411","117"
