province,naics_3digit,year,emissions,export_value,carbon_intensity,eite,us_industry,treatment,carbon_price,wti_usd_per_bbl,wcs_usd_per_bbl,differential_usd_per_bbl,log_wti,wcs_discount,Oil and gas extraction,Petroleum and coal products,Chemical products,Primary metals,Nonmetallic mineral products,Manufacturing,Mining,Utilities,"Agriculture, forestry, fishing, and hunting",emissions_intensity,log_intensity,log_us_oil_and_gas_extraction,log_us_petroleum_and_coal_products,log_us_chemical_products,log_us_primary_metals,log_us_nonmetallic_mineral_products,log_us_manufacturing,log_us_mining,log_us_utilities
Alberta,211,2007,9379276.65401,44812808.0,0.20929901679023977,1,Oil and gas extraction,1,15.0,72.34,57.34,15.0,4.281377226523952,15.0,262418,168942,298764,112345,78456,2103489,398712,312456,164214,0.20929901679023977,-1.5639913471511557,12.477693931260342,12.037310739733964,12.607409243054558,11.62932977284033,11.270293237072156,14.559107952619433,12.895994630734425,12.652218938245342
Alberta,211,2008,24978344.15425,74274923.0,0.33629579332246046,1,Oil and gas extraction,1,15.0,99.67,79.67,20.0,4.601864728979365,20.0,248912,142567,276543,98765,72345,1987654,378945,305678,162895,0.33629579332246046,-1.0897641690192905,12.424854699326902,11.8675673436316,12.53012160322397,11.500498569962101,11.189201621171183,14.502465606785602,12.845146354800312,12.630287539309531
Alberta,211,2009,46466819.9341,40424266.0,1.1494783834565816,1,Oil and gas extraction,1,15.0,61.95,46.95,15.0,4.126327608075152,15.0,189456,112345,234567,76543,65432,1765432,312456,298765,228621,1.1494783834565816,0.13930825987384182,12.151912086570738,11.62932977284033,12.365496540345632,11.245607953403638,11.08876671441481,14.383905977607686,12.652218938245342,12.607412590172439
Alberta,211,2010,50012984.78311,33166904.0,1.5079183991098022,1,Oil and gas extraction,1,15.0,79.48,64.48,15.0,4.375505417683616,15.0,223456,134567,256789,87654,72345,1923456,345678,310987,289998,1.5079183991098022,0.41073015612550506,12.316969805645762,11.8098174952568,12.456010014989538,11.38115252536057,11.189201621171183,14.469634125945344,12.753262984891322,12.647506389644613
Alberta,211,2011,50418097.23058,47147398.0,1.0693717865528642,1,Oil and gas extraction,1,15.0,94.88,74.88,20.0,4.552612935249416,20.0,267890,156789,278901,98765,76543,2012345,398765,318765,274178,1.0693717865528642,0.06707136068294023,12.498331727475062,11.962656231376378,12.538612159123673,11.500498569962101,11.245607953403638,14.514811266675228,12.896127549928528,12.672209433171071
Alberta,211,2012,48736736.656785995,41292848.0,1.1802706526027174,1,Oil and gas extraction,1,15.0,94.05,74.05,20.0,4.54382655574704,20.0,298765,178901,289012,109876,81234,2109876,432109,325678,312345,1.1802706526027174,0.16574377878954583,12.607412590172439,12.094587859196112,12.574223488723884,11.607107736197484,11.305089157723167,14.562139735952844,12.976433150215033,12.693664442160706
Alberta,211,2013,58093559.198835,58214692.0,0.997919205667772,1,Oil and gas extraction,1,15.0,97.98,72.98,25.0,4.584763376210429,25.0,321098,189012,301234,123456,87654,2187654,456789,332109,345678,0.997919205667772,-0.0020829621925241267,12.679501651468984,12.149565784089736,12.615642650343313,11.7236400962654,11.38115252536057,14.598340294735943,13.031976856473577,12.713218507268635
Alberta,211,2014,60526550.313159995,67153804.0,0.9013123115580928,1,Oil and gas extraction,1,15.0,93.17,68.17,25.0,4.534425781462334,25.0,367890,210987,321098,145678,98765,2289012,498765,345678,367890,0.9013123115580928,-0.10390345373486565,12.815539259424181,12.259551799185738,12.679501651468984,11.889153985586766,11.500498569962101,14.64363084138492,13.11989032192193,12.753262984891322
Alberta,211,2015,51299928.97258,42808847.0,1.198348765912308,1,Oil and gas extraction,1,15.0,48.66,28.66,20.0,3.8848573373553763,20.0,298765,210987,321098,145678,98765,2289012,456789,356789,398765,1.198348765912308,0.18094458079107748,12.607412590172439,12.259551799185738,12.679501651468984,11.889153985586766,11.500498569962101,14.64363084138492,13.031976856473577,12.784899849616338
Alberta,211,2016,61312901.78485,33227149.0,1.8452652012018291,1,Oil and gas extraction,1,20.0,43.29,23.29,20.0,3.7679216614538893,20.0,189012,156789,278901,109876,87654,1987654,312345,338901,456789,1.8452652012018291,0.6126230076516126,12.149565784089736,11.962656231376378,12.538612159123673,11.607107736197484,11.38115252536057,14.502465606785602,12.651863625109904,12.733463308313716
Alberta,211,2017,59292544.71924,48491952.0,1.2227295927216701,1,Oil and gas extraction,1,30.0,50.88,30.88,20.0,3.9294699190318667,20.0,367890,234567,367890,178901,123456,2410987,498765,367890,498765,1.2227295927216701,0.201085730640865,12.815539259424181,12.365496540345632,12.815539259424181,12.094587859196112,11.7236400962654,14.695546765195225,13.11989032192193,12.815539259424181
Alberta,211,2018,74309628.337579,63639910.0,1.1676576591258194,1,Oil and gas extraction,1,30.0,65.23,38.58,26.65,4.177919485808005,26.65,234567,178901,298765,123456,98765,2198765,367890,342109,412345,1.1676576591258194,0.15499974138030592,12.365496540345632,12.094587859196112,12.607412590172439,11.7236400962654,11.500498569962101,14.603406397068623,12.815539259424181,12.742884678716692
Alberta,211,2019,76470582.847491,66343276.0,1.1526500869129503,1,Oil and gas extraction,1,30.0,56.99,38.59,18.4,4.0428758138469085,18.4,189012,156789,278901,109876,87654,1987654,312345,338901,367890,1.1526500869129503,0.14206371466618953,12.149565784089736,11.962656231376378,12.538612159123673,11.607107736197484,11.38115252536057,14.502465606785602,12.651863625109904,12.733463308313716
Alberta,211,2020,85109076.024254,50436733.0,1.6874422858485365,1,Oil and gas extraction,1,30.0,39.68,24.3,15.38,3.6808472824166723,15.38,367890,234567,367890,178901,123456,2410987,498765,367890,456789,1.6874422858485365,0.523213942201036,12.815539259424181,12.365496540345632,12.815539259424181,12.094587859196112,11.7236400962654,14.695546765195225,13.11989032192193,12.815539259424181
Alberta,211,2021,88701946.974259,76661955.0,1.1570530255099527,1,Oil and gas extraction,1,40.0,68.17,51.52,16.65,4.222004585374694,16.65,432109,278901,432109,210987,145678,2589012,567890,398765,498765,1.1570530255099527,0.1458762773341892,12.976433150215033,12.538612159123673,12.976433150215033,12.259551799185738,11.889153985586766,14.76678689371714,13.249683016976556,12.896127549928528
Alberta,211,2022,79410920.172018,120101228.0,0.661199901902896,1,Oil and gas extraction,1,50.0,94.9,76.25,18.65,4.552823705615882,18.65,389012,298765,456789,234567,156789,2678901,521098,412345,521098,0.661199901902896,-0.4136990613975052,12.871365470453831,12.607412590172439,13.031976856473577,12.365496540345632,11.962656231376378,14.80091719375658,13.163693402855015,12.929615656566547
Alberta,211,2023,72543272.144013,97604479.0,0.7432371227965088,1,Oil and gas extraction,1,65.0,77.58,58.93,18.65,4.351309662011821,18.65,401234,312345,478901,256789,167890,2789012,534567,423456,534567,0.7432371227965088,-0.29674014278848393,12.902300077241911,12.651863625109904,13.079249174447126,12.456010014989538,12.031064282030444,14.841197969217795,13.189212352386619,12.956204891572776
Alberta,212,2008,110393.3338,4898681.0,0.022535317935578465,1,Mining,1,15.0,99.67,79.67,20.0,4.601864728979365,20.0,248912,142567,276543,98765,72345,1987654,378945,305678,162895,0.022535317935578465,-3.792671514415488,12.424854699326902,11.8675673436316,12.53012160322397,11.500498569962101,11.189201621171183,14.502465606785602,12.845146354800312,12.630287539309531
Alberta,212,2009,601802.48703,4148849.0,0.14505287780535153,1,Mining,1,15.0,61.95,46.95,15.0,4.126327608075152,15.0,189456,112345,234567,76543,65432,1765432,312456,298765,228621,0.14505287780535153,-1.9306569285194883,12.151912086570738,11.62932977284033,12.365496540345632,11.245607953403638,11.08876671441481,14.383905977607686,12.652218938245342,12.607412590172439
Alberta,212,2010,525445.2208,565791.0,0.9286913733146538,1,Mining,1,15.0,79.48,64.48,15.0,4.375505417683616,15.0,223456,134567,256789,87654,72345,1923456,345678,310987,289998,0.9286913733146538,-0.07397880923367614,12.316969805645762,11.8098174952568,12.456010014989538,11.38115252536057,11.189201621171183,14.469634125945344,12.753262984891322,12.647506389644613
Alberta,212,2011,704485.4538,742234.0,0.9491419872965277,1,Mining,1,15.0,94.88,74.88,20.0,4.552612935249416,20.0,267890,156789,278901,98765,76543,2012345,398765,318765,274178,0.9491419872965277,-0.05219687375927638,12.498331727475062,11.962656231376378,12.538612159123673,11.500498569962101,11.245607953403638,14.514811266675228,12.896127549928528,12.672209433171071
Alberta,212,2012,522203.352,5085984.0,0.10267498914662282,1,Mining,1,15.0,94.05,74.05,20.0,4.54382655574704,20.0,298765,178901,289012,109876,81234,2109876,432109,325678,312345,0.10267498914662282,-2.2761867248456533,12.607412590172439,12.094587859196112,12.574223488723884,11.607107736197484,11.305089157723167,14.562139735952844,12.976433150215033,12.693664442160706
Alberta,212,2013,464565.2043,542719.0,0.8559958363336164,1,Mining,1,15.0,97.98,72.98,25.0,4.584763376210429,25.0,321098,189012,301234,123456,87654,2187654,456789,332109,345678,0.8559958363336164,-0.1554897669484672,12.679501651468984,12.149565784089736,12.615642650343313,11.7236400962654,11.38115252536057,14.598340294735943,13.031976856473577,12.713218507268635
Alberta,212,2014,275831.02532,459856.0,0.5998204336126965,1,Mining,1,15.0,93.17,68.17,25.0,4.534425781462334,25.0,367890,210987,321098,145678,98765,2289012,498765,345678,367890,0.5998204336126965,-0.511124945870555,12.815539259424181,12.259551799185738,12.679501651468984,11.889153985586766,11.500498569962101,14.64363084138492,13.11989032192193,12.753262984891322
Alberta,212,2015,106352.582,340251.0,0.31257096084857183,1,Mining,1,15.0,48.66,28.66,20.0,3.8848573373553763,20.0,298765,210987,321098,145678,98765,2289012,456789,356789,398765,0.31257096084857183,-1.162923760867812,12.607412590172439,12.259551799185738,12.679501651468984,11.889153985586766,11.500498569962101,14.64363084138492,13.031976856473577,12.784899849616338
Alberta,212,2016,329823.723093,248917.0,1.3250349437429945,1,Mining,1,20.0,43.29,23.29,20.0,3.7679216614538893,20.0,189012,156789,278901,109876,87654,1987654,312345,338901,456789,1.3250349437429945,0.2814388317266559,12.149565784089736,11.962656231376378,12.538612159123673,11.607107736197484,11.38115252536057,14.502465606785602,12.651863625109904,12.733463308313716
Alberta,212,2017,449759.16335,266709.0,1.6863291578023751,1,Mining,1,30.0,50.88,30.88,20.0,3.9294699190318667,20.0,367890,234567,367890,178901,123456,2410987,498765,367890,498765,1.6863291578023751,0.5225540705380358,12.815539259424181,12.365496540345632,12.815539259424181,12.094587859196112,11.7236400962654,14.695546765195225,13.11989032192193,12.815539259424181
Alberta,212,2018,403718.48209,516297.0,0.7819500831676691,1,Mining,1,30.0,65.23,38.58,26.65,4.177919485808005,26.65,234567,178901,298765,123456,98765,2198765,367890,342109,412345,0.7819500831676691,-0.24596437274059957,12.365496540345632,12.094587859196112,12.607412590172439,11.7236400962654,11.500498569962101,14.603406397068623,12.815539259424181,12.742884678716692
Alberta,212,2019,612993.85729,837494.0,0.7319382076638973,1,Mining,1,30.0,56.99,38.59,18.4,4.0428758138469085,18.4,189012,156789,278901,109876,87654,1987654,312345,338901,367890,0.7319382076638973,-0.3120591843437394,12.149565784089736,11.962656231376378,12.538612159123673,11.607107736197484,11.38115252536057,14.502465606785602,12.651863625109904,12.733463308313716
Alberta,212,2020,451445.980712,470434.0,0.9596372301131303,1,Mining,1,30.0,39.68,24.3,15.38,3.6808472824166723,15.38,367890,234567,367890,178901,123456,2410987,498765,367890,456789,0.9596372301131303,-0.04119995123571937,12.815539259424181,12.365496540345632,12.815539259424181,12.094587859196112,11.7236400962654,14.695546765195225,13.11989032192193,12.815539259424181
Alberta,212,2021,268770.078673,656306.0,0.4095194599357471,1,Mining,1,40.0,68.17,51.52,16.65,4.222004585374694,16.65,432109,278901,432109,210987,145678,2589012,567890,398765,498765,0.4095194599357471,-0.8927708556074943,12.976433150215033,12.538612159123673,12.976433150215033,12.259551799185738,11.889153985586766,14.76678689371714,13.249683016976556,12.896127549928528
Alberta,212,2022,484277.22652,2419287.0,0.20017353316072045,1,Mining,1,50.0,94.9,76.25,18.65,4.552823705615882,18.65,389012,298765,456789,234567,156789,2678901,521098,412345,521098,0.20017353316072045,-1.6085706228348742,12.871365470453831,12.607412590172439,13.031976856473577,12.365496540345632,11.962656231376378,14.80091719375658,13.163693402855015,12.929615656566547
Alberta,212,2023,571822.68151,2097519.0,0.2726185944011604,1,Mining,1,65.0,77.58,58.93,18.65,4.351309662011821,18.65,401234,312345,478901,256789,167890,2789012,534567,423456,534567,0.2726185944011604,-1.2996815507431272,12.902300077241911,12.651863625109904,13.079249174447126,12.456010014989538,12.031064282030444,14.841197969217795,13.189212352386619,12.956204891572776
Alberta,311,2009,56492.21331,1767990.0,0.031952790066667826,0,Manufacturing,1,15.0,61.95,46.95,15.0,4.126327608075152,15.0,189456,112345,234567,76543,65432,1765432,312456,298765,228621,0.031952790066667826,-3.443495775940997,12.151912086570738,11.62932977284033,12.365496540345632,11.245607953403638,11.08876671441481,14.383905977607686,12.652218938245342,12.607412590172439
Alberta,311,2010,123153.50122,1527492.0,0.08062464564129919,0,Manufacturing,1,15.0,79.48,64.48,15.0,4.375505417683616,15.0,223456,134567,256789,87654,72345,1923456,345678,310987,289998,0.08062464564129919,-2.517950899022536,12.316969805645762,11.8098174952568,12.456010014989538,11.38115252536057,11.189201621171183,14.469634125945344,12.753262984891322,12.647506389644613
Alberta,311,2011,68988.22282,1673437.0,0.041225467597500697,0,Manufacturing,1,15.0,94.88,74.88,20.0,4.552612935249416,20.0,267890,156789,278901,98765,76543,2012345,398765,318765,274178,0.041225467597500697,-3.188699068029529,12.498331727475062,11.962656231376378,12.538612159123673,11.500498569962101,11.245607953403638,14.514811266675228,12.896127549928528,12.672209433171071
